Licenca;ID_Variedade;Cod_Variedade;Nome_Variedade;ID_Maturacao;Descricao_Maturacao
1;1;99999;ÁREA ÚMIDA;1;Precoce
1;3;2;RB93 5621;5;Precoce Fraca
1;4;3;SP90 1107;1;Precoce
1;5;4;SP89 1115;1;Precoce
1;6;5;RB92 5211;4;Super tardia
1;7;6;CTC 2;1;Precoce
1;8;8;CTC 4;1;Precoce
1;9;9;CTC 6;1;Precoce
1;10;10;CTC 14;1;Precoce
1;11;11;CTC 15;1;Precoce
1;12;12;CTC 1;1;Precoce
1;13;13;CTC 17;1;Precoce
1;14;14;RB72 454;1;Precoce
1;15;15;VERTIX 3;1;Precoce
1;16;18;RB78 5148;1;Precoce
1;17;41;RB86 7515;1;Precoce
1;18;42;CTC00 2627;1;Precoce
1;19;43;CTC 7;1;Precoce
1;20;45;RB92 5268;1;Precoce
1;21;46;RB98 8082;1;Precoce
1;22;47;RB92 5268;1;Precoce
1;23;48;RB98 7935;1;Precoce
1;24;50;CTC 10;1;Precoce
1;25;51;ÁREA ÚMIDA;1;Precoce
1;26;52;CT01 1053;1;Precoce
1;27;53;MEIOSI;1;Precoce
1;28;60;RB01 7944;1;Precoce
1;29;68;RB01 1053;1;Precoce
1;30;96;RB86 454;1;Precoce
1;31;97;RB85 5536;1;Precoce
1;32;98;RB85 5453;1;Precoce
1;33;100;RB92 579;1;Precoce
1;34;106;SP79 1011;1;Precoce
1;35;109;SP79 2233;1;Precoce
1;36;110;SP79 2312;1;Precoce
1;37;115;SP80 3480;1;Precoce
1;38;116;SP81 3250;1;Precoce
1;39;121;RB80 6043;1;Precoce
1;40;122;RB85 5035;1;Precoce
1;41;123;RB85 5156;1;Precoce
1;42;125;SP80 1816;1;Precoce
1;43;127;SP83 5073;1;Precoce
1;44;129;SP80 1842;1;Precoce
1;45;132;SP81 2590;1;Precoce
1;46;134;RB82 5336;1;Precoce
1;47;135;RB84 5257;1;Precoce
1;48;138;SP80 3280;1;Precoce
1;49;142;RB83 5089;1;Precoce
1;50;143;RB83 5486;1;Precoce
1;51;148;RB83 5054;1;Precoce
1;52;162;RB85 5113;1;Precoce
1;53;167;SP71 3501;1;Precoce
1;54;176;SP77 5181;1;Precoce
1;55;178;SP78 5495;1;Precoce
1;56;179;SP70 1143;1;Precoce
1;57;194;SP83 2847;1;Precoce
1;58;195;SP87 365;1;Precoce
1;59;200;RB96 6928;1;Precoce
1;60;205;SP85 5077;1;Precoce
1;61;206;SP91 1049;1;Precoce
1;62;209;DIVERSAS;1;Precoce
1;63;210;RB85 5046;1;Precoce
1;64;211;SP87 344;1;Precoce
1;65;213;RB86 5230;1;Precoce
1;66;214;RB92 8064;1;Precoce
1;67;215;RB93 5925;1;Precoce
1;68;216;RB85 5357;1;Precoce
1;69;218;RB85 1515;1;Precoce
1;70;219;RB84 5210;1;Precoce
1;71;220;RB92 5345;1;Precoce
1;72;221;RB93 5744;1;Precoce
1;73;223;RB82 8064;1;Precoce
1;74;224;CTC 9;1;Precoce
1;75;225;RB96 5902;1;Precoce
1;76;226;SP91 1285;1;Precoce
1;77;227;RB94 6903;1;Precoce
1;78;228;CTC 22;1;Precoce
1;79;229;CTC 19;1;Precoce
1;80;230;CTC 20;1;Precoce
1;81;233;RB93 7570;1;Precoce
1;82;234;CT99 4039;1;Precoce
1;83;235;CT99 3901;1;Precoce
1;84;236;CT99 1906;1;Precoce
1;85;237;CT95 3351;1;Precoce
1;86;238;CT97 1246;1;Precoce
1;87;239;CT99 1902;1;Precoce
1;88;240;CVPR07 7886;1;Precoce
1;89;243;CV 6654;1;Precoce
1;90;244;CVSP07 7032;1;Precoce
1;91;245;CVSP07 1908;1;Precoce
1;92;246;CT99 3991;1;Precoce
1;93;247;CT97 3615;1;Precoce
1;94;248;CT98 1814;1;Precoce
1;95;249;CT00 2627;1;Precoce
1;96;250;CTC 9004;1;Precoce
1;97;251;CT00 4473;1;Precoce
1;98;252;CT00 2628;1;Precoce
1;99;253;CT00 4674;1;Precoce
1;100;254;CT00 2631;1;Precoce
1;101;255;CTC 9005;1;Precoce
1;102;256;CT00 2572;1;Precoce
1;103;257;RB98 5652;1;Precoce
1;104;258;RB97 5162;1;Precoce
1;105;259;CTC 11;1;Precoce
1;106;260;RB93 1003;1;Precoce
1;107;261;RB98 5517;1;Precoce
1;108;262;RB97 5960;1;Precoce
1;109;263;RB98 5476;1;Precoce
1;110;264;RB97 5375;1;Precoce
1;111;265;RB96 5560;1;Precoce
1;112;266;RB98 5433;1;Precoce
1;113;267;RB97 5242;1;Precoce
1;114;268;RB97 5932;1;Precoce
1;115;269;RB97 5184;1;Precoce
1;116;270;RB97 5157;1;Precoce
1;117;271;RB98 5580;1;Precoce
1;118;272;RB96 5518;1;Precoce
1;119;273;RB98 5680;1;Precoce
1;120;274;RB93 509;1;Precoce
1;121;275;RB99 6961;1;Precoce
1;122;276;RB98 6958;1;Precoce
1;123;277;RB97 5019;1;Precoce
1;124;278;RB98 5831;1;Precoce
1;125;279;RB99 5867;1;Precoce
1;126;280;RB99 6963;1;Precoce
1;127;281;RB97 5952;1;Precoce
1;128;282;RB97 5033;1;Precoce
1;129;283;RB97 6930;1;Precoce
1;130;284;RB99 6962;1;Precoce
1;131;285;RB94 5273;1;Precoce
1;132;287;A DEFINIRR;1;Precoce
1;133;288;CT99 3615;1;Precoce
1;134;289;CTC 24;1;Precoce
1;135;290;CTC 23;1;Precoce
1;136;291;CVPR07 7880;1;Precoce
1;137;292;CVPR06 1908;1;Precoce
1;138;293;CV 7231;1;Precoce
1;139;294;CV 0470;1;Precoce
1;140;295;CVSO07 6992;1;Precoce
1;141;296;CVPR07 7556;1;Precoce
1;142;297;CVPR07 7809;1;Precoce
1;143;298;CVSP07 8558;1;Precoce
1;144;299;RB01 5935;1;Precoce
1;145;300;RB01 5919;1;Precoce
1;146;301;CVPR07 8285;1;Precoce
1;147;302;RB01 5898;1;Precoce
1;148;303;RB01 5895;1;Precoce
1;149;304;RB00 5632;1;Precoce
1;150;305;RB00 5003;1;Precoce
1;151;306;RB00 6624;1;Precoce
1;152;307;RB00 6606;1;Precoce
1;153;308;RB00 5498;1;Precoce
1;154;309;RB00 5287;1;Precoce
1;155;310;RB01 5834;1;Precoce
1;156;311;RB01 5823;1;Precoce
1;157;312;RB97 5201;1;Precoce
1;158;313;RB01 5923;1;Precoce
1;159;314;RB97 5944;1;Precoce
1;160;315;RB97 7619;1;Precoce
1;161;316;IAC87 3396;1;Precoce
1;162;317;CVSP07 8151;1;Precoce
1;163;318;CVMG07 7957;1;Precoce
1;164;319;CVSP07 8160;1;Precoce
1;165;321;CV 7870;1;Precoce
1;166;322;CTC 21;1;Precoce
1;167;323;RB94 5961;1;Precoce
1;168;328;RB96 5586;1;Precoce
1;169;330;CVSP07 0487;1;Precoce
1;170;331;CVSP07 6984;1;Precoce
1;171;332;RB03 6066;1;Precoce
1;172;333;RB03 6088;1;Precoce
1;173;334;RB03 6091;1;Precoce
1;174;505;CB 7300;1;Precoce
1;175;513;IAC96 7569;1;Precoce
1;176;514;IAC94 2094;1;Precoce
1;177;515;IASP96 3060;1;Precoce
1;178;516;IACSP97 4039;1;Precoce
1;179;519;IACSP95 5000;1;Precoce
1;180;520;CT03 9065;1;Precoce
1;181;521;CT00 1499;1;Precoce
1;182;522;CT03 9013;1;Precoce
1;183;523;CTC 9001;1;Precoce
1;184;524;CT03 2009;1;Precoce
1;185;525;CTC 9002;1;Precoce
1;186;526;CTC 25;1;Precoce
1;187;527;CTC 9003;1;Precoce
1;188;528;MEIOSE;1;Precoce
1;189;529;IAC91 1099;1;Precoce
1;190;530;RB03 5261;1;Precoce
1;191;531;CV 0618;1;Precoce
1;192;533;CT01 2009;1;Precoce
1;193;534;IACSP04 6007;1;Precoce
1;194;536;CT01 1886;1;Precoce
1;195;537;CT04 3205;1;Precoce
1;196;538;CTC 9005;1;Precoce
1;197;539;CTC04 590;1;Precoce
1;198;579;PR04 2322;1;Precoce
1;199;586;RB10 6811;1;Precoce
1;200;587;RB10 6832;1;Precoce
1;201;588;RB10 6819;1;Precoce
1;202;589;RB10 6822;1;Precoce
1;203;590;RB10 6803;1;Precoce
1;204;591;IAC CTC05 555;1;Precoce
1;205;592;IAC CTC08 9052;1;Precoce
1;206;593;IACSP02 6215;1;Precoce
1;207;594;CAIANA;1;Precoce
1;208;595;RB07 5322;1;Precoce
1;209;596;CTC 20BT;1;Precoce
1;210;597;CTC 9007;1;Precoce
1;211;598;CTC 9001 BT;1;Precoce
1;212;860;{desconhecida};1;Precoce
1;213;862;SALDO A PLANTAR;1;Precoce
1;214;864;ÁREA DE EMPRÉSTIMO;1;Precoce
1;215;865;PROJETO;1;Precoce
1;216;868;{desconhecida};1;Precoce
1;217;869;{desconhecida};1;Precoce
1;218;887;PÁTIO DE TORTA;1;Precoce
1;219;888;PISTA DE AVIÃO;1;Precoce
1;220;994;AREA DE TOCO;1;Precoce
1;221;996;LOCAIS;1;Precoce
1;222;998;CARREADOR;1;Precoce
1;223;999;A PREPARAR;1;Precoce
1;224;1000;CTC 18;1;Precoce
1;225;1001;IACSP95 5094;1;Precoce
1;226;8955;ÁREA PARA EXCLUIR;1;Precoce
1;227;8961;TEC 7022;1;Precoce
1;229;8963;STATUS VIP3;1;Precoce
1;230;8964;{desconhecida};1;Precoce
1;231;8965;{desconhecida};1;Precoce
1;232;8966;RB01 5177;1;Precoce
1;233;8967;{desconhecida};1;Precoce
1;234;8968;CULTIVAR;1;Precoce
1;235;8969;CT03-9004;1;Precoce
1;236;10000;IACCT062808;2;Média
1;237;10001;IACCT062541;2;Média
1;238;10002;IACCT053611;2;Média
1;239;10003;IACCT055579;1;Precoce
1;240;10004;IACCT059903;1;Precoce
1;241;10005;IACCT062505;2;Média
1;242;10006;IACCT065708;1;Precoce
1;243;10007;IACCT065732;3;Tardia
1;244;10008;IACCT066655;1;Precoce
1;245;10009;IACCT066667;1;Precoce
1;246;10010;IACCT066689;1;Precoce
1;247;10011;IACCT069905;1;Precoce
